country,year,rural_pop_pct,gini_reported,q1,q2,q3,q4,q5,pop_gdp,population count,rural_pop,urban_pop,staple_demand,region_un,oecd_member,incomegroup,Area Code,Item Code,Item,Unit,Y2017,Y2021
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7010,Cost of vegetables,PPP dollar per person per day,0.35,0.5
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7011,Cost of fruits,PPP dollar per person per day,0.68,0.97
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7012,Cost of oils and fats,PPP dollar per person per day,0.17,0.21
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7005,Percentage of the population unable to afford a healthy diet (percent),%,3.2,1.0
Belarus,2017,21.866,25.44,9.93,14.24,17.87,22.47,35.5,17281.0,9450233.0,2066387.9,7383845.0,1.114977574,Europe,Non-OECD,Upper middle income,57,7006,Number of people unable to afford a healthy diet (million),million No,0.3,0.1
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,2.0,2.32
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7007,Cost of starchy staples,PPP dollar per person per day,0.22,0.22
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7008,Cost of animal source foods,PPP dollar per person per day,0.75,0.54
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.37,0.11
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7010,Cost of vegetables,PPP dollar per person per day,0.68,0.64
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7011,Cost of fruits,PPP dollar per person per day,0.79,0.76
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7012,Cost of oils and fats,PPP dollar per person per day,0.06,0.05
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7005,Percentage of the population unable to afford a healthy diet (percent),%,2.1,0.8
Belgium,2017,2.039,26.0,9.1,14.1,18.6,23.3,34.9,42614.0,11419752.0,232848.7,11186903.0,1.274799397,Europe,OECD,High income,255,7006,Number of people unable to afford a healthy diet (million),million No,0.2,0.1
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,4.07,4.96
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7007,Cost of starchy staples,PPP dollar per person per day,0.54,0.56
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7008,Cost of animal source foods,PPP dollar per person per day,1.19,1.34
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.43,0.4
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7010,Cost of vegetables,PPP dollar per person per day,0.94,0.95
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7011,Cost of fruits,PPP dollar per person per day,1.12,1.45
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7012,Cost of oils and fats,PPP dollar per person per day,0.16,0.25
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7005,Percentage of the population unable to afford a healthy diet (percent),%,28.9,21.5
Bhutan,2017,59.833,37.44,6.68,10.79,15.46,22.7,44.38,9247.0,745563.0,446092.7,299470.0,0.0,Asia,Non-OECD,Lower middle income,18,7006,Number of people unable to afford a healthy diet (million),million No,0.2,0.2
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.22,3.84
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7007,Cost of starchy staples,PPP dollar per person per day,0.44,0.62
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7008,Cost of animal source foods,PPP dollar per person per day,0.64,0.83
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.74,0.94
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7010,Cost of vegetables,PPP dollar per person per day,0.47,0.67
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7011,Cost of fruits,PPP dollar per person per day,0.46,0.65
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7012,Cost of oils and fats,PPP dollar per person per day,0.07,0.13
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7005,Percentage of the population unable to afford a healthy diet (percent),%,27.4,30.2
Brazil,2017,13.691,52.8475,3.34,7.5625,12.235,19.375,57.5075,14236.0,207833824.0,28454528.8,179379295.0,1.139923773,Americas,Non-OECD,Upper middle income,21,7006,Number of people unable to afford a healthy diet (million),million No,57.2,64.7
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.39,3.94
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7007,Cost of starchy staples,PPP dollar per person per day,0.5,0.68
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7008,Cost of animal source foods,PPP dollar per person per day,0.96,0.98
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.48,0.42
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7010,Cost of vegetables,PPP dollar per person per day,0.77,0.86
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7011,Cost of fruits,PPP dollar per person per day,0.96,0.87
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7012,Cost of oils and fats,PPP dollar per person per day,0.1,0.14
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7005,Percentage of the population unable to afford a healthy diet (percent),%,10.2,6.1
Bulgaria,2017,25.331,40.2,5.6,10.9,15.7,21.8,46.0,18537.0,7102452.0,1799122.1,5303330.0,1.220059199,Europe,Non-OECD,Upper middle income,27,7006,Number of people unable to afford a healthy diet (million),million No,0.7,0.4
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.08,3.48
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7007,Cost of starchy staples,PPP dollar per person per day,0.43,0.39
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7008,Cost of animal source foods,PPP dollar per person per day,0.77,0.94
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.31,0.31
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7010,Cost of vegetables,PPP dollar per person per day,0.61,0.87
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7011,Cost of fruits,PPP dollar per person per day,0.67,0.9
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7012,Cost of oils and fats,PPP dollar per person per day,0.08,0.07
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7005,Percentage of the population unable to afford a healthy diet (percent),%,3.2,3.0
Canada,2017,18.65,35.25,5.995,8.675,12.875,17.825,41.177499999999995,43642.0,36732088.0,6850534.4,29881554.0,1.105415878,Americas,OECD,High income,33,7006,Number of people unable to afford a healthy diet (million),million No,1.2,1.1
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.38,3.86
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7007,Cost of starchy staples,PPP dollar per person per day,0.35,0.58
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7008,Cost of animal source foods,PPP dollar per person per day,0.76,0.8
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.26,0.41
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7010,Cost of vegetables,PPP dollar per person per day,0.94,1.05
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7011,Cost of fruits,PPP dollar per person per day,0.62,0.75
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7012,Cost of oils and fats,PPP dollar per person per day,0.12,0.27
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7005,Percentage of the population unable to afford a healthy diet (percent),%,48.1,42.5
Chile,2017,12.51,45.92,5.302,7.506,10.662,15.606,52.364,22297.0,18470436.0,2310651.5,16159784.0,0.0,Americas,OECD,High income,40,7006,Number of people unable to afford a healthy diet (million),million No,8.8,8.3
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,2.84,3.34
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7007,Cost of starchy staples,PPP dollar per person per day,0.55,0.57
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7008,Cost of animal source foods,PPP dollar per person per day,0.8,0.88
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.26,0.3
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7010,Cost of vegetables,PPP dollar per person per day,0.62,0.81
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7011,Cost of fruits,PPP dollar per person per day,0.49,0.54
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7012,Cost of oils and fats,PPP dollar per person per day,0.15,0.23
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7005,Percentage of the population unable to afford a healthy diet (percent),%,31.7,37.9
Colombia,2017,19.554,49.395,4.1375,8.365,12.9075,20.1525,54.4625,13184.0,48909844.0,9563830.9,39346013.0,1.106317424,Americas,Non-OECD,Upper middle income,44,7006,Number of people unable to afford a healthy diet (million),million No,15.3,19.5
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.54,3.67
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7007,Cost of starchy staples,PPP dollar per person per day,0.62,0.74
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7008,Cost of animal source foods,PPP dollar per person per day,0.86,0.95
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.41,0.43
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7010,Cost of vegetables,PPP dollar per person per day,1.39,0.85
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7011,Cost of fruits,PPP dollar per person per day,0.59,0.57
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7012,Cost of oils and fats,PPP dollar per person per day,0.09,0.13
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7005,Percentage of the population unable to afford a healthy diet (percent),%,14.3,15.1
Costa Rica,2017,21.44,48.168,4.36,6.76,10.251999999999999,16.374000000000002,53.698,15485.6,4932280.6,1057481.0,3874799.8,0.0,Americas,Non-OECD,Upper middle income,48,7006,Number of people unable to afford a healthy diet (million),million No,0.7,0.8
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,3.31,3.66
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7007,Cost of starchy staples,PPP dollar per person per day,0.5,0.57
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7008,Cost of animal source foods,PPP dollar per person per day,0.96,1.04
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.56,0.34
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7010,Cost of vegetables,PPP dollar per person per day,1.14,0.87
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7011,Cost of fruits,PPP dollar per person per day,0.95,0.75
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7012,Cost of oils and fats,PPP dollar per person per day,0.07,0.09
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7005,Percentage of the population unable to afford a healthy diet (percent),%,27.9,15.5
Croatia,2017,43.333,29.9,7.4,13.4,18.2,23.7,37.3,22517.0,4182847.0,1812553.1,2370294.0,1.129220166,Europe,Non-OECD,High income,98,7006,Number of people unable to afford a healthy diet (million),million No,1.2,0.6
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7004,Cost of a healthy diet (PPP dollar per person per day),PPP dollar per person per day,2.89,3.19
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7007,Cost of starchy staples,PPP dollar per person per day,0.42,0.46
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7008,Cost of animal source foods,PPP dollar per person per day,0.7,0.81
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7009,"Cost of legumes, nuts and seeds",PPP dollar per person per day,0.28,0.33
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7010,Cost of vegetables,PPP dollar per person per day,0.65,0.74
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7011,Cost of fruits,PPP dollar per person per day,0.72,0.75
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7012,Cost of oils and fats,PPP dollar per person per day,0.08,0.1
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7005,Percentage of the population unable to afford a healthy diet (percent),%,4.0,2.3
Cyprus,2017,33.164,30.8,8.7,12.7,16.9,22.2,39.5,24133.0,1179685.0,391230.7,788454.0,0.891070529,Asia,Non-OECD,High income,50,7006,Number of people unable to afford a healthy diet (million),million No,0.09,0.09
