Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment
"Overweight, adults aged 18+",,2022,Angola,African Region,Total,,31.777647,25.407472,38.726273,
"Overweight, adults aged 18+",,2022,Angola,African Region,Males,,22.343406,14.503931,31.652227,
"Overweight, adults aged 18+",,2022,Angola,African Region,Females,,40.493059,30.863988,50.579822,
"Overweight, adults aged 18+",,2022,Antigua and Barbuda,Region of the Americas,Total,,62.667525,52.616769,72.2085,
"Overweight, adults aged 18+",,2022,Antigua and Barbuda,Region of the Americas,Males,,54.010719,39.255574,68.132836,
"Overweight, adults aged 18+",,2022,Antigua and Barbuda,Region of the Americas,Females,,70.41086,55.983442,82.928818,
"Overweight, adults aged 18+",,2022,Argentina,Region of the Americas,Total,,68.42044,65.984136,70.853752,
"Overweight, adults aged 18+",,2022,Argentina,Region of the Americas,Males,,71.8624,68.437207,75.204605,
"Overweight, adults aged 18+",,2022,Argentina,Region of the Americas,Females,,65.061522,61.600882,68.488282,
"Overweight, adults aged 18+",,2022,Armenia,European Region,Total,,55.427545,51.885271,59.021592,
"Overweight, adults aged 18+",,2022,Armenia,European Region,Males,,51.363015,45.01659,57.930428,
"Overweight, adults aged 18+",,2022,Armenia,European Region,Females,,57.51515,53.541362,61.308813,
"Overweight, adults aged 18+",,2022,Australia,Western Pacific Region,Total,,63.95607,61.284083,66.679555,
"Overweight, adults aged 18+",,2022,Australia,Western Pacific Region,Males,,70.292842,66.426665,74.056482,
"Overweight, adults aged 18+",,2022,Australia,Western Pacific Region,Females,,57.708478,53.817511,61.622864,
"Overweight, adults aged 18+",,2022,Austria,European Region,Total,,44.989514,41.3147,48.696139,
"Overweight, adults aged 18+",,2022,Austria,European Region,Males,,56.536692,51.732606,61.355466,
"Overweight, adults aged 18+",,2022,Austria,European Region,Females,,33.379954,27.960753,39.0816,
"Overweight, adults aged 18+",,2022,Azerbaijan,European Region,Total,,61.684901,58.212513,64.95623,
"Overweight, adults aged 18+",,2022,Azerbaijan,European Region,Males,,59.068882,53.350419,64.712834,
"Overweight, adults aged 18+",,2022,Azerbaijan,European Region,Females,,63.576496,59.511244,67.471689,
"Overweight, adults aged 18+",,2022,Bahamas,Region of the Americas,Total,,75.787836,72.526693,78.957307,
"Overweight, adults aged 18+",,2022,Bahamas,Region of the Americas,Males,,69.823229,64.507937,74.874818,
"Overweight, adults aged 18+",,2022,Bahamas,Region of the Americas,Females,,81.204897,77.161109,84.943098,
"Overweight, adults aged 18+",,2022,Bahrain,Eastern Mediterranean Region,Total,,68.688148,61.748791,75.079769,
"Overweight, adults aged 18+",,2022,Bahrain,Eastern Mediterranean Region,Males,,66.147423,56.641597,75.207978,
"Overweight, adults aged 18+",,2022,Bahrain,Eastern Mediterranean Region,Females,,72.851694,63.913429,81.007594,
"Overweight, adults aged 18+",,2022,Bangladesh,South-East Asia Region,Total,,27.02097,25.05165,29.081964,
"Overweight, adults aged 18+",,2022,Bangladesh,South-East Asia Region,Males,,20.288311,17.509846,23.188339,
"Overweight, adults aged 18+",,2022,Bangladesh,South-East Asia Region,Females,,33.441976,30.698121,36.417806,
"Overweight, adults aged 18+",,2022,Barbados,Region of the Americas,Total,,67.161435,61.486244,72.601753,
"Overweight, adults aged 18+",,2022,Barbados,Region of the Americas,Males,,58.109814,49.343142,66.885823,
"Overweight, adults aged 18+",,2022,Barbados,Region of the Americas,Females,,75.602591,68.368578,82.374603,
"Overweight, adults aged 18+",,2022,Belarus,European Region,Total,,55.417746,52.77009,57.950056,
"Overweight, adults aged 18+",,2022,Belarus,European Region,Males,,61.0421,57.131559,64.821392,
"Overweight, adults aged 18+",,2022,Belarus,European Region,Females,,49.913949,46.541539,53.256422,
"Overweight, adults aged 18+",,2022,Belgium,European Region,Total,,51.07649,47.701076,54.490173,
"Overweight, adults aged 18+",,2022,Belgium,European Region,Males,,55.326164,50.406986,60.175723,
"Overweight, adults aged 18+",,2022,Belgium,European Region,Females,,46.840385,42.035744,51.797324,
"Overweight, adults aged 18+",,2022,Belize,Region of the Americas,Total,,72.778523,69.094056,76.215905,
"Overweight, adults aged 18+",,2022,Belize,Region of the Americas,Males,,65.674376,59.851211,71.05161,
"Overweight, adults aged 18+",,2022,Belize,Region of the Americas,Females,,79.837692,75.352997,84.045297,
"Overweight, adults aged 18+",,2022,Benin,African Region,Total,,30.075172,26.74199,33.5996,
"Overweight, adults aged 18+",,2022,Benin,African Region,Males,,23.620322,18.532251,29.199612,
"Overweight, adults aged 18+",,2022,Benin,African Region,Females,,36.212656,32.002261,40.497991,
"Overweight, adults aged 18+",,2022,Bermuda,Region of the Americas,Total,,62.504649,52.579778,72.099435,
"Overweight, adults aged 18+",,2022,Bermuda,Region of the Americas,Males,,54.002857,39.794263,68.496346,
"Overweight, adults aged 18+",,2022,Bermuda,Region of the Americas,Females,,70.559269,56.515366,82.798231,
"Overweight, adults aged 18+",,2022,Bhutan,South-East Asia Region,Total,,46.675783,43.577245,49.754566,
"Overweight, adults aged 18+",,2022,Bhutan,South-East Asia Region,Males,,41.007212,36.819842,45.490044,
"Overweight, adults aged 18+",,2022,Bhutan,South-East Asia Region,Females,,53.192323,48.854244,57.437617,
"Overweight, adults aged 18+",,2022,Bolivia (Plurinational State of),Region of the Americas,Total,,65.144849,61.833525,68.384409,
"Overweight, adults aged 18+",,2022,Bolivia (Plurinational State of),Region of the Americas,Males,,61.352682,56.236899,66.22659,
"Overweight, adults aged 18+",,2022,Bolivia (Plurinational State of),Region of the Americas,Females,,68.696976,64.232397,73.000425,
"Overweight, adults aged 18+",,2022,Bosnia and Herzegovina,European Region,Total,,56.857562,51.002288,62.796628,
"Overweight, adults aged 18+",,2022,Bosnia and Herzegovina,European Region,Males,,66.602099,58.22612,74.93661,
"Overweight, adults aged 18+",,2022,Bosnia and Herzegovina,European Region,Females,,46.611336,38.605112,55.229932,
"Overweight, adults aged 18+",,2022,Botswana,African Region,Total,,41.990942,37.170815,46.827284,
"Overweight, adults aged 18+",,2022,Botswana,African Region,Males,,27.397242,20.701323,34.39244,
"Overweight, adults aged 18+",,2022,Botswana,African Region,Females,,55.05513,48.18843,61.732739,
"Overweight, adults aged 18+",,2022,Brazil,Region of the Americas,Total,,62.999976,60.536867,65.478468,
"Overweight, adults aged 18+",,2022,Brazil,Region of the Americas,Males,,61.415941,57.641941,65.192789,
"Overweight, adults aged 18+",,2022,Brazil,Region of the Americas,Females,,64.37524,61.179757,67.549813,
"Overweight, adults aged 18+",,2022,Brunei Darussalam,Western Pacific Region,Total,,69.632304,65.426809,73.620856,
"Overweight, adults aged 18+",,2022,Brunei Darussalam,Western Pacific Region,Males,,69.54574,63.671988,75.361574,
"Overweight, adults aged 18+",,2022,Brunei Darussalam,Western Pacific Region,Females,,69.741714,63.8502,75.189424,
"Overweight, adults aged 18+",,2022,Bulgaria,European Region,Total,,51.948071,49.133062,54.770821,
"Overweight, adults aged 18+",,2022,Bulgaria,European Region,Males,,61.030596,56.802356,65.275764,
"Overweight, adults aged 18+",,2022,Bulgaria,European Region,Females,,42.286402,38.649347,46.001741,
"Overweight, adults aged 18+",,2022,Burkina Faso,African Region,Total,,21.702629,19.722964,23.789808,
"Overweight, adults aged 18+",,2022,Burkina Faso,African Region,Males,,17.403978,14.398561,20.687614,
"Overweight, adults aged 18+",,2022,Burkina Faso,African Region,Females,,25.817195,23.165907,28.577101,
"Overweight, adults aged 18+",,2022,Burundi,African Region,Total,,16.311765,11.476824,22.436653,
"Overweight, adults aged 18+",,2022,Burundi,African Region,Males,,21.327858,11.584835,33.109623,
"Overweight, adults aged 18+",,2022,Burundi,African Region,Females,,11.818304,9.007448,15.123674,
"Overweight, adults aged 18+",,2022,Cabo Verde,African Region,Total,,46.687627,43.555772,49.782529,
"Overweight, adults aged 18+",,2022,Cabo Verde,African Region,Males,,37.330416,33.089724,41.663095,
"Overweight, adults aged 18+",,2022,Cabo Verde,African Region,Females,,55.829966,51.395708,60.122573,
"Overweight, adults aged 18+",,2022,Cambodia,Western Pacific Region,Total,,25.135493,23.129304,27.27139,
"Overweight, adults aged 18+",,2022,Cambodia,Western Pacific Region,Males,,21.131639,18.004979,24.596547,
"Overweight, adults aged 18+",,2022,Cambodia,Western Pacific Region,Females,,29.036263,26.568761,31.511894,
"Overweight, adults aged 18+",,2022,Cameroon,African Region,Total,,39.47483,35.782903,43.259859,
"Overweight, adults aged 18+",,2022,Cameroon,African Region,Males,,32.30468,26.346377,38.583842,
"Overweight, adults aged 18+",,2022,Cameroon,African Region,Females,,46.487564,42.18365,50.689912,
"Overweight, adults aged 18+",,2022,Canada,Region of the Americas,Total,,59.154379,56.370592,61.842728,
"Overweight, adults aged 18+",,2022,Canada,Region of the Americas,Males,,64.714181,60.764247,68.519878,
"Overweight, adults aged 18+",,2022,Canada,Region of the Americas,Females,,53.599453,49.712566,57.367957,
"Overweight, adults aged 18+",,2022,Central African Republic,African Region,Total,,23.671676,19.576325,28.145415,
"Overweight, adults aged 18+",,2022,Central African Republic,African Region,Males,,17.937337,13.064973,23.492219,
"Overweight, adults aged 18+",,2022,Central African Republic,African Region,Females,,29.156244,22.772264,36.528954,
"Overweight, adults aged 18+",,2022,Chad,African Region,Total,,21.425317,16.669157,26.704514,
"Overweight, adults aged 18+",,2022,Chad,African Region,Males,,22.951081,14.579363,32.45666,
"Overweight, adults aged 18+",,2022,Chad,African Region,Females,,20.104067,15.486287,25.255531,
"Overweight, adults aged 18+",,2022,Chile,Region of the Americas,Total,,78.788459,75.561166,81.778067,
"Overweight, adults aged 18+",,2022,Chile,Region of the Americas,Males,,78.533787,73.785776,82.873195,
"Overweight, adults aged 18+",,2022,Chile,Region of the Americas,Females,,78.982913,74.611485,82.894349,
"Overweight, adults aged 18+",,2022,China,Western Pacific Region,Total,,37.46157,35.453126,39.492717,
"Overweight, adults aged 18+",,2022,China,Western Pacific Region,Males,,42.731079,39.674824,45.845246,
"Overweight, adults aged 18+",,2022,China,Western Pacific Region,Females,,31.575,29.009309,34.140527,
"Overweight, adults aged 18+",,2022,Colombia,Region of the Americas,Total,,59.72119,56.964684,62.451035,
"Overweight, adults aged 18+",,2022,Colombia,Region of the Americas,Males,,56.325251,52.272534,60.165423,
"Overweight, adults aged 18+",,2022,Colombia,Region of the Americas,Females,,62.907422,59.04057,66.709936,
"Overweight, adults aged 18+",,2022,Comoros,African Region,Total,,42.881978,38.050339,47.904029,
"Overweight, adults aged 18+",,2022,Comoros,African Region,Males,,30.937135,23.923476,38.613805,
"Overweight, adults aged 18+",,2022,Comoros,African Region,Females,,54.910934,48.092541,61.694324,
"Overweight, adults aged 18+",,2022,Congo,African Region,Total,,24.162062,19.906114,28.585774,
"Overweight, adults aged 18+",,2022,Congo,African Region,Males,,14.824624,9.5591813,20.878033,
"Overweight, adults aged 18+",,2022,Congo,African Region,Females,,33.200267,27.03172,39.729506,
"Overweight, adults aged 18+",,2022,Cook Islands,Western Pacific Region,Total,,88.292253,84.605324,91.590816,
"Overweight, adults aged 18+",,2022,Cook Islands,Western Pacific Region,Males,,86.061788,80.270219,91.163504,
"Overweight, adults aged 18+",,2022,Cook Islands,Western Pacific Region,Females,,90.12509,85.317802,94.017023,
"Overweight, adults aged 18+",,2022,Costa Rica,Region of the Americas,Total,,66.942066,62.887269,71.106225,
"Overweight, adults aged 18+",,2022,Costa Rica,Region of the Americas,Males,,61.409473,55.161858,67.743921,
"Overweight, adults aged 18+",,2022,Costa Rica,Region of the Americas,Females,,72.342253,67.073745,77.36451,
"Overweight, adults aged 18+",,2022,Côte d'Ivoire,African Region,Total,,34.543774,30.00451,39.356318,
"Overweight, adults aged 18+",,2022,Côte d'Ivoire,African Region,Males,,29.64941,21.659838,38.519359,
"Overweight, adults aged 18+",,2022,Côte d'Ivoire,African Region,Females,,39.58225,35.540795,43.738618,
"Overweight, adults aged 18+",,2022,Croatia,European Region,Total,,64.216745,60.99655,67.374057,
"Overweight, adults aged 18+",,2022,Croatia,European Region,Males,,71.639371,66.925669,76.080739,
"Overweight, adults aged 18+",,2022,Croatia,European Region,Females,,56.232768,51.776779,60.71344,
"Overweight, adults aged 18+",,2022,Cuba,Region of the Americas,Total,,55.556995,52.254105,58.789599,
"Overweight, adults aged 18+",,2022,Cuba,Region of the Americas,Males,,52.857965,48.072603,57.651716,
"Overweight, adults aged 18+",,2022,Cuba,Region of the Americas,Females,,58.132052,53.774506,62.557656,
"Overweight, adults aged 18+",,2022,Cyprus,European Region,Total,,53.817892,45.938823,61.602271,
"Overweight, adults aged 18+",,2022,Cyprus,European Region,Males,,61.819088,50.863373,72.731572,
"Overweight, adults aged 18+",,2022,Cyprus,European Region,Females,,45.568246,35.013834,57.368279,
"Overweight, adults aged 18+",,2022,Czechia,European Region,Total,,59.536755,56.891924,62.0673,
"Overweight, adults aged 18+",,2022,Czechia,European Region,Males,,68.364245,64.771676,71.81198,
"Overweight, adults aged 18+",,2022,Czechia,European Region,Females,,50.196451,46.430373,54.001534,
"Overweight, adults aged 18+",,2022,Democratic People's Republic of Korea,South-East Asia Region,Total,,37.009296,27.497855,47.22285,
"Overweight, adults aged 18+",,2022,Democratic People's Republic of Korea,South-East Asia Region,Males,,33.262128,20.721629,46.821895,
"Overweight, adults aged 18+",,2022,Democratic People's Republic of Korea,South-East Asia Region,Females,,40.745804,26.915473,56.156856,
"Overweight, adults aged 18+",,2022,Democratic Republic of the Congo,African Region,Total,,21.787362,18.191306,25.635219,
"Overweight, adults aged 18+",,2022,Democratic Republic of the Congo,African Region,Males,,16.026174,11.13239,21.58511,
"Overweight, adults aged 18+",,2022,Democratic Republic of the Congo,African Region,Females,,27.373564,22.213078,32.898286,
"Overweight, adults aged 18+",,2022,Denmark,European Region,Total,,44.911292,41.891012,48.033068,
"Overweight, adults aged 18+",,2022,Denmark,European Region,Males,,54.256153,50.6311,57.961595,
"Overweight, adults aged 18+",,2022,Denmark,European Region,Females,,35.561338,30.6436,40.553194,
"Overweight, adults aged 18+",,2022,Djibouti,Eastern Mediterranean Region,Total,,29.770368,21.200857,39.342919,
"Overweight, adults aged 18+",,2022,Djibouti,Eastern Mediterranean Region,Males,,21.350215,11.629245,33.415943,
"Overweight, adults aged 18+",,2022,Djibouti,Eastern Mediterranean Region,Females,,37.869838,24.391291,53.164548,
"Overweight, adults aged 18+",,2022,Dominica,Region of the Americas,Total,,59.008396,52.476257,65.583211,
"Overweight, adults aged 18+",,2022,Dominica,Region of the Americas,Males,,42.348528,32.611832,52.86333,
"Overweight, adults aged 18+",,2022,Dominica,Region of the Americas,Females,,75.402117,66.769552,83.075213,
"Overweight, adults aged 18+",,2022,Dominican Republic,Region of the Americas,Total,,63.306713,59.639579,66.846913,
"Overweight, adults aged 18+",,2022,Dominican Republic,Region of the Americas,Males,,57.260686,51.708853,62.715995,
"Overweight, adults aged 18+",,2022,Dominican Republic,Region of the Americas,Females,,69.306624,64.405048,73.831749,
"Overweight, adults aged 18+",,2022,Eastern Mediterranean Region,Eastern Mediterranean Region,Total,,59.876484,58.60768,61.192608,
"Overweight, adults aged 18+",,2022,Eastern Mediterranean Region,Eastern Mediterranean Region,Males,,55.682683,53.663069,57.678378,
"Overweight, adults aged 18+",,2022,Eastern Mediterranean Region,Eastern Mediterranean Region,Females,,64.2061,62.621152,65.709335,
"Overweight, adults aged 18+",,2022,Ecuador,Region of the Americas,Total,,66.753614,64.158231,69.307637,
"Overweight, adults aged 18+",,2022,Ecuador,Region of the Americas,Males,,63.91927,59.902924,67.789197,
"Overweight, adults aged 18+",,2022,Ecuador,Region of the Americas,Females,,69.426191,66.029501,72.829229,
"Overweight, adults aged 18+",,2022,Egypt,Eastern Mediterranean Region,Total,,73.353738,70.434707,76.173735,
"Overweight, adults aged 18+",,2022,Egypt,Eastern Mediterranean Region,Males,,64.818704,59.747922,69.476742,
"Overweight, adults aged 18+",,2022,Egypt,Eastern Mediterranean Region,Females,,81.88833,78.745049,84.85865,
"Overweight, adults aged 18+",,2022,El Salvador,Region of the Americas,Total,,66.174567,61.842501,70.3426,
"Overweight, adults aged 18+",,2022,El Salvador,Region of the Americas,Males,,60.430396,53.677762,66.852015,
"Overweight, adults aged 18+",,2022,El Salvador,Region of the Americas,Females,,71.020728,65.206945,76.352686,
"Overweight, adults aged 18+",,2022,Equatorial Guinea,African Region,Total,,39.514053,32.189429,47.694823,
"Overweight, adults aged 18+",,2022,Equatorial Guinea,African Region,Males,,24.131064,13.28909,37.390321,
"Overweight, adults aged 18+",,2022,Equatorial Guinea,African Region,Females,,57.719821,48.887181,66.499704,
"Overweight, adults aged 18+",,2022,Eritrea,African Region,Total,,17.206697,13.23719,21.747164,
"Overweight, adults aged 18+",,2022,Eritrea,African Region,Males,,13.974558,8.7901108,20.418008,
"Overweight, adults aged 18+",,2022,Eritrea,African Region,Females,,20.093331,14.353153,26.744965,
"Overweight, adults aged 18+",,2022,Estonia,European Region,Total,,57.205939,53.038567,61.292815,
"Overweight, adults aged 18+",,2022,Estonia,European Region,Males,,65.918374,59.438819,72.112256,
"Overweight, adults aged 18+",,2022,Estonia,European Region,Females,,47.858748,42.337132,53.403252,
"Overweight, adults aged 18+",,2022,Eswatini,African Region,Total,,57.140291,52.668303,61.589128,
"Overweight, adults aged 18+",,2022,Eswatini,African Region,Males,,40.946785,34.129253,47.785279,
"Overweight, adults aged 18+",,2022,Eswatini,African Region,Females,,72.587991,66.411108,78.282022,
"Overweight, adults aged 18+",,2022,Ethiopia,African Region,Total,,10.868975,9.1022253,12.822591,
"Overweight, adults aged 18+",,2022,Ethiopia,African Region,Males,,6.6784427,4.7579527,8.989621,
"Overweight, adults aged 18+",,2022,Ethiopia,African Region,Females,,14.913577,12.140431,18.114167,
"Overweight, adults aged 18+",,2022,European Region,European Region,Total,,55.907601,54.967338,56.857938,
"Overweight, adults aged 18+",,2022,European Region,European Region,Males,,61.902857,60.458058,63.404906,
"Overweight, adults aged 18+",,2022,European Region,European Region,Females,,49.931422,48.612708,51.217598,
"Overweight, adults aged 18+",,2022,Fiji,Western Pacific Region,Total,,65.794933,59.818351,71.469522,
"Overweight, adults aged 18+",,2022,Fiji,Western Pacific Region,Males,,59.320092,50.329036,68.312061,
"Overweight, adults aged 18+",,2022,Fiji,Western Pacific Region,Females,,71.973878,64.374828,79.294598,
"Overweight, adults aged 18+",,2022,Finland,European Region,Total,,55.275363,52.08286,58.429158,
"Overweight, adults aged 18+",,2022,Finland,European Region,Males,,60.259551,55.720997,64.871824,
"Overweight, adults aged 18+",,2022,Finland,European Region,Females,,50.011253,45.549613,54.449338,
"Overweight, adults aged 18+",,2022,France,European Region,Total,,34.292552,32.188532,36.396444,
"Overweight, adults aged 18+",,2022,France,European Region,Males,,39.583519,36.564609,42.570069,
"Overweight, adults aged 18+",,2022,France,European Region,Females,,29.472438,26.653358,32.376534,
"Overweight, adults aged 18+",,2022,French Polynesia,Western Pacific Region,Total,,73.565841,67.663616,79.183257,
"Overweight, adults aged 18+",,2022,French Polynesia,Western Pacific Region,Males,,75.033146,66.382474,82.755858,
"Overweight, adults aged 18+",,2022,French Polynesia,Western Pacific Region,Females,,72.014749,63.072109,79.874051,
"Overweight, adults aged 18+",,2022,Gabon,African Region,Total,,46.90105,41.456485,52.437985,
"Overweight, adults aged 18+",,2022,Gabon,African Region,Males,,35.189727,25.834197,45.31813,
"Overweight, adults aged 18+",,2022,Gabon,African Region,Females,,59.223658,54.401106,63.887477,
"Overweight, adults aged 18+",,2022,Gambia,African Region,Total,,40.942195,36.401907,45.577684,
"Overweight, adults aged 18+",,2022,Gambia,African Region,Males,,35.104683,27.009699,43.793881,
"Overweight, adults aged 18+",,2022,Gambia,African Region,Females,,46.291694,42.035106,50.456667,
"Overweight, adults aged 18+",,2022,Georgia,European Region,Total,,65.75135,61.912882,69.496065,
"Overweight, adults aged 18+",,2022,Georgia,European Region,Males,,68.239254,62.235379,74.213952,
"Overweight, adults aged 18+",,2022,Georgia,European Region,Females,,62.427664,57.509959,67.110205,
"Overweight, adults aged 18+",,2022,Germany,European Region,Total,,53.816742,50.255251,57.486069,
"Overweight, adults aged 18+",,2022,Germany,European Region,Males,,62.646365,57.696813,67.475754,
"Overweight, adults aged 18+",,2022,Germany,European Region,Females,,44.872463,39.75904,50.0902,
"Overweight, adults aged 18+",,2022,Ghana,African Region,Total,,36.727545,33.916822,39.611334,
"Overweight, adults aged 18+",,2022,Ghana,African Region,Males,,24.030145,20.219812,28.053531,
"Overweight, adults aged 18+",,2022,Ghana,African Region,Females,,48.896587,44.892627,52.936369,
"Overweight, adults aged 18+",,2022,Greece,European Region,Total,,61.438251,58.150268,64.618534,
"Overweight, adults aged 18+",,2022,Greece,European Region,Males,,68.109733,63.371885,72.763318,
"Overweight, adults aged 18+",,2022,Greece,European Region,Females,,54.698443,50.111449,59.156591,
"Overweight, adults aged 18+",,2022,Greenland,European Region,Total,,58.977884,55.079353,62.868142,
"Overweight, adults aged 18+",,2022,Greenland,European Region,Males,,56.418014,50.650406,61.926806,
"Overweight, adults aged 18+",,2022,Greenland,European Region,Females,,61.644733,56.119365,67.092913,
"Overweight, adults aged 18+",,2022,Grenada,Region of the Americas,Total,,59.928477,53.81946,65.89793,
"Overweight, adults aged 18+",,2022,Grenada,Region of the Americas,Males,,49.212524,40.233028,58.254337,
"Overweight, adults aged 18+",,2022,Grenada,Region of the Americas,Females,,70.624137,62.377328,78.309685,
"Overweight, adults aged 18+",,2022,Guatemala,Region of the Americas,Total,,63.215017,59.472817,66.80181,
"Overweight, adults aged 18+",,2022,Guatemala,Region of the Americas,Males,,59.0698,52.107972,65.889126,
"Overweight, adults aged 18+",,2022,Guatemala,Region of the Americas,Females,,66.980666,63.682765,70.071274,
"Overweight, adults aged 18+",,2022,Guinea,African Region,Total,,28.553742,24.167484,33.139753,
"Overweight, adults aged 18+",,2022,Guinea,African Region,Males,,22.025619,14.767759,30.149195,
"Overweight, adults aged 18+",,2022,Guinea,African Region,Females,,34.454763,29.79393,39.306074,
"Overweight, adults aged 18+",,2022,Guinea-Bissau,African Region,Total,,32.118922,25.370678,39.381379,
"Overweight, adults aged 18+",,2022,Guinea-Bissau,African Region,Males,,25.918987,15.229428,38.812393,
"Overweight, adults aged 18+",,2022,Guinea-Bissau,African Region,Females,,37.692878,29.95829,45.970824,
"Overweight, adults aged 18+",,2022,Guyana,Region of the Americas,Total,,56.422609,52.096915,60.799855,
"Overweight, adults aged 18+",,2022,Guyana,Region of the Americas,Males,,45.354775,38.704407,52.100003,
"Overweight, adults aged 18+",,2022,Guyana,Region of the Americas,Females,,66.514218,60.637069,72.280031,
"Overweight, adults aged 18+",,2022,Haiti,Region of the Americas,Total,,29.882723,25.730535,34.358522,
"Overweight, adults aged 18+",,2022,Haiti,Region of the Americas,Males,,21.008024,14.438905,28.469774,
"Overweight, adults aged 18+",,2022,Haiti,Region of the Americas,Females,,38.378096,33.485523,43.441954,
"Overweight, adults aged 18+",,2022,Honduras,Region of the Americas,Total,,63.762641,56.54847,70.708054,
"Overweight, adults aged 18+",,2022,Honduras,Region of the Americas,Males,,58.032185,45.679337,70.157039,
"Overweight, adults aged 18+",,2022,Honduras,Region of the Americas,Females,,69.396478,62.398952,75.962722,
"Overweight, adults aged 18+",,2022,Hungary,European Region,Total,,62.17221,59.408832,64.966053,
"Overweight, adults aged 18+",,2022,Hungary,European Region,Males,,70.952833,66.978431,74.823964,
"Overweight, adults aged 18+",,2022,Hungary,European Region,Females,,53.167754,49.213192,57.117945,
"Overweight, adults aged 18+",,2022,Iceland,European Region,Total,,57.371265,51.515526,63.075489,
"Overweight, adults aged 18+",,2022,Iceland,European Region,Males,,65.913457,57.597429,73.656982,
"Overweight, adults aged 18+",,2022,Iceland,European Region,Females,,48.157987,39.929014,56.366897,
"Overweight, adults aged 18+",,2022,India,South-East Asia Region,Total,,29.476726,27.866012,31.144306,
"Overweight, adults aged 18+",,2022,India,South-East Asia Region,Males,,27.422789,25.127023,29.804146,
"Overweight, adults aged 18+",,2022,India,South-East Asia Region,Females,,31.575558,29.323775,33.915085,
"Overweight, adults aged 18+",,2022,Indonesia,South-East Asia Region,Total,,38.077798,35.28291,40.880296,
"Overweight, adults aged 18+",,2022,Indonesia,South-East Asia Region,Males,,28.406939,24.466683,32.433671,
"Overweight, adults aged 18+",,2022,Indonesia,South-East Asia Region,Females,,47.765252,43.836671,51.688653,
"Overweight, adults aged 18+",,2022,Iran (Islamic Republic of),Eastern Mediterranean Region,Total,,60.375822,58.557165,62.186575,
"Overweight, adults aged 18+",,2022,Iran (Islamic Republic of),Eastern Mediterranean Region,Males,,55.689609,53.006619,58.389258,
"Overweight, adults aged 18+",,2022,Iran (Islamic Republic of),Eastern Mediterranean Region,Females,,65.039796,62.686652,67.359078,
"Overweight, adults aged 18+",,2022,Iraq,Eastern Mediterranean Region,Total,,73.2485,69.373029,76.975292,
"Overweight, adults aged 18+",,2022,Iraq,Eastern Mediterranean Region,Males,,68.356228,62.302357,74.369198,
"Overweight, adults aged 18+",,2022,Iraq,Eastern Mediterranean Region,Females,,77.912402,72.705793,82.519311,
"Overweight, adults aged 18+",,2022,Ireland,European Region,Total,,64.742887,60.711527,68.60494,
"Overweight, adults aged 18+",,2022,Ireland,European Region,Males,,68.910444,63.266003,74.071211,
"Overweight, adults aged 18+",,2022,Ireland,European Region,Females,,60.737389,54.89766,66.379219,
"Overweight, adults aged 18+",,2022,Israel,European Region,Total,,54.343867,50.852209,57.810569,
"Overweight, adults aged 18+",,2022,Israel,European Region,Males,,60.672021,55.550945,65.643537,
