Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","004","Afghanistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","PPP dollar per person per day","3.04","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","PPP dollar per person per day","3.13","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","PPP dollar per person per day","3.32","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","PPP dollar per person per day","3.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2021","2021","PPP dollar per person per day","3.55","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2022","2022","PPP dollar per person per day","4.19","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7007","Cost of starchy staples","2021","2021","PPP dollar per person per day","0.48","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7008","Cost of animal source foods","2021","2021","PPP dollar per person per day","1.15","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.44","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7009","Cost of legumes, nuts and seeds","2021","2021","PPP dollar per person per day","0.42","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.71","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7010","Cost of vegetables","2021","2021","PPP dollar per person per day","0.61","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.91","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7011","Cost of fruits","2021","2021","PPP dollar per person per day","0.78","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.09","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7012","Cost of oils and fats","2021","2021","PPP dollar per person per day","0.11","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2017","2017","%","24.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2018","2018","%","17.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2019","2019","%","15.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2020","2020","%","14.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2021","2021","%","12.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","%","12.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","million No","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","million No","0.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","million No","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","million No","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","million No","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","million No","0.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","PPP dollar per person per day","4.06","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","PPP dollar per person per day","4.13","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","PPP dollar per person per day","4.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","PPP dollar per person per day","4.06","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2021","2021","PPP dollar per person per day","4.36","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2022","2022","PPP dollar per person per day","4.89","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7007","Cost of starchy staples","2021","2021","PPP dollar per person per day","0.54","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7008","Cost of animal source foods","2021","2021","PPP dollar per person per day","1.33","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.49","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7009","Cost of legumes, nuts and seeds","2021","2021","PPP dollar per person per day","0.57","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7010","Cost of vegetables","2021","2021","PPP dollar per person per day","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.98","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7011","Cost of fruits","2021","2021","PPP dollar per person per day","1.07","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.13","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7012","Cost of oils and fats","2021","2021","PPP dollar per person per day","0.15","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2017","2017","%","17.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2018","2018","%","17","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2019","2019","%","16.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2020","2020","%","18.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2021","2021","%","18.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","%","19.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","million No","7.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","million No","7.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","million No","7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","million No","7.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","million No","8.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","million No","8.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2022","2022","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7007","Cost of starchy staples","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7008","Cost of animal source foods","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7009","Cost of legumes, nuts and seeds","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7010","Cost of vegetables","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7011","Cost of fruits","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6226","Value","7012","Cost of oils and fats","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2017","2017","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2018","2018","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2019","2019","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2020","2020","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","016","American Samoa","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2022","2022","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7007","Cost of starchy staples","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7008","Cost of animal source foods","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7009","Cost of legumes, nuts and seeds","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7010","Cost of vegetables","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7011","Cost of fruits","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6226","Value","7012","Cost of oils and fats","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2017","2017","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2018","2018","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2019","2019","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2020","2020","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","020","Andorra","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","PPP dollar per person per day","3.44","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","PPP dollar per person per day","3.41","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","PPP dollar per person per day","3.46","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","PPP dollar per person per day","3.65","E","Estimated value"
